StageId,Name,TextGameMode,TextArtistTitle,TextSongTitle
MapS1_02h,澎湖 關卡 02,對戰模式,勸世寶貝喵喵,喵電感應
MapS1_03e,澎湖 關卡 03,跑酷模式,勸世寶貝喵喵,喵電感應
MapS1_03n,澎湖 關卡 03,跑酷模式,勸世寶貝喵喵,喵電感應
MapS1_03h,澎湖 關卡 03,跑酷模式,勸世寶貝喵喵,喵電感應
MapS1_04e,澎湖 關卡 04,跳舞模式,勸世寶貝喵喵,莫名其妙的喵
MapS1_04n,澎湖 關卡 04,跳舞模式,勸世寶貝喵喵,莫名其妙的喵
MapS1_04h,澎湖 關卡 04,跳舞模式,勸世寶貝喵喵,莫名其妙的喵
MapS1_05e,澎湖 關卡 05,對戰模式,勸世寶貝喵喵,莫名其妙的喵
MapS1_05n,澎湖 關卡 05,對戰模式,勸世寶貝喵喵,莫名其妙的喵
MapS1_05h,澎湖 關卡 05,對戰模式,勸世寶貝喵喵,莫名其妙的喵
MapS1_06e,澎湖 關卡 06,跑酷模式,勸世寶貝喵喵,莫名其妙的喵
MapS1_06n,澎湖 關卡 06,跑酷模式,勸世寶貝喵喵,莫名其妙的喵
MapS1_06h,澎湖 關卡 06,跑酷模式,勸世寶貝喵喵,莫名其妙的喵
MapS1_07e,澎湖 關卡 07,跳舞模式,王舜,喵電感應 王舜Remix
MapS1_07n,澎湖 關卡 07,跳舞模式,王舜,喵電感應 王舜Remix
MapS1_07h,澎湖 關卡 07,跳舞模式,王舜,喵電感應 王舜Remix
MapS1_08e,澎湖 關卡 08,對戰模式,王舜,喵電感應 王舜Remix
MapS1_08n,澎湖 關卡 08,對戰模式,王舜,喵電感應 王舜Remix
MapS1_08h,澎湖 關卡 08,對戰模式,王舜,喵電感應 王舜Remix
MapS1_09e,澎湖 關卡 09,跑酷模式,王舜,喵電感應 王舜Remix
MapS1_09n,澎湖 關卡 09,跑酷模式,王舜,喵電感應 王舜Remix
MapS1_09h,澎湖 關卡 09,跑酷模式,王舜,喵電感應 王舜Remix
MapS1_10e,澎湖 關卡 10,跳舞模式,勸世寶貝喵喵,喵喵的異次元
MapS1_10n,澎湖 關卡 10,跳舞模式,勸世寶貝喵喵,喵喵的異次元
MapS1_10h,澎湖 關卡 10,跳舞模式,勸世寶貝喵喵,喵喵的異次元
MapS1_11e,澎湖 關卡 11,對戰模式,勸世寶貝喵喵,喵喵的異次元
MapS1_11n,澎湖 關卡 11,對戰模式,勸世寶貝喵喵,喵喵的異次元
MapS1_11h,澎湖 關卡 11,對戰模式,勸世寶貝喵喵,喵喵的異次元
MapS1_12e,澎湖 關卡 12,跑酷模式,勸世寶貝喵喵,喵喵的異次元
MapS1_12n,澎湖 關卡 12,跑酷模式,勸世寶貝喵喵,喵喵的異次元
MapS1_12h,澎湖 關卡 12,跑酷模式,勸世寶貝喵喵,喵喵的異次元
MapS1_13e,澎湖 關卡 13,跳舞模式,丁繼,喵電感應 丁繼Remix
MapS1_13n,澎湖 關卡 13,跳舞模式,丁繼,喵電感應 丁繼Remix
MapS1_13h,澎湖 關卡 13,跳舞模式,丁繼,喵電感應 丁繼Remix
MapS1_14e,澎湖 關卡 14,對戰模式,丁繼,喵電感應 丁繼Remix
MapS1_14n,澎湖 關卡 14,對戰模式,丁繼,喵電感應 丁繼Remix
MapS1_14h,澎湖 關卡 14,對戰模式,丁繼,喵電感應 丁繼Remix
MapS1_15e,澎湖 關卡 15,跑酷模式,丁繼,喵電感應 丁繼Remix
MapS1_15n,澎湖 關卡 15,跑酷模式,丁繼,喵電感應 丁繼Remix
MapS1_15h,澎湖 關卡 15,跑酷模式,丁繼,喵電感應 丁繼Remix
